reeval_rank,original_rank,sample_id,coarse_J,coarse_display_score,mean_J,std_J,median_J,p95_J,sem_J,ci95_low,ci95_high,valid_repeat_rate,failure_count,layout_json,flat_J_t,flat_mean_err,flat_median_err,flat_p95_err,flat_valid_rate,flat_dgeom,flat_usable_event_rate,hill_J_t,hill_mean_err,hill_median_err,hill_p95_err,hill_valid_rate,hill_dgeom,hill_usable_event_rate,rough_J_t,rough_mean_err,rough_median_err,rough_p95_err,rough_valid_rate,rough_dgeom,rough_usable_event_rate,n_nodes,centroid_x,centroid_y,mean_radius,std_radius,min_radius,max_radius,min_pairwise_dist,mean_pairwise_dist,std_pairwise_dist,nearest_neighbor_mean,nearest_neighbor_std,convex_hull_area,convex_hull_perimeter,area_per_node,mean_dist_to_boundary,min_dist_to_boundary,fraction_near_boundary_0p1L,fraction_near_boundary_0p15L,angular_gap_mean,angular_gap_std,max_angular_gap,lambda1,lambda2,anisotropy
11,18,2035,0.0896265506353289,0.917745625248329,0.1130164348275487,0.0109628713200558,0.1130164348275487,0.119993163414067,0.007751920651687,0.0978226703502421,0.1282101993048553,1.0,0,"[[0.5524997393453872, 0.7807810204960913], [0.24439572874403678, 0.5938151258846556], [0.5238433811330133, 0.6330741063265335], [0.4600661525546923, 0.5441547664654861], [0.7389843077401992, 0.5565283018068355], [0.42931961580115396, 0.35793006078653183], [0.8938202308995601, 0.46366189205891034], [0.8154126072741532, 0.23184280857952191]]",0.0597216201881535,0.00794850235454,0.0028451753195936,0.0366493137620351,0.699,0.0,0.699,0.1407533010284691,0.0093242726225929,0.0027423031551839,0.0501694131688637,0.6799999999999999,0.7350655439764319,0.6799999999999999,0.1108375170651029,0.0071475149318072,0.0026988223847199,0.0286139496618112,0.6779999999999999,0.5073695044724631,0.6779999999999999,8.0,0.5822927204365245,0.5202235103005708,0.2413772768571566,0.09171612915393601,0.12454733605261464,0.3708211304177708,0.10942661415970001,0.36186514100909534,0.14646927914685684,0.17314927200220204,0.045319569080431804,0.19501599532689887,1.7769068275854423,0.02437699941586236,0.27451234379106815,0.10617976910043991,0.0,0.125,0.7853981633974483,0.4798896825919033,1.4569666411682176,0.054804789765054755,0.021395025240611425,2.5615669600158206
12,21,2055,0.0901787928419492,0.9172807309827912,0.1141276248563553,0.0084661649526944,0.1141276248563553,0.11951545924018,0.0059864826486941,0.1023941188649148,0.1258611308477958,1.0,0,"[[0.5680479150903572, 0.4556192883792581], [0.22503127802769338, 0.8415226276832611], [0.5280303994116293, 0.5727693297176467], [0.26714363107348327, 0.3612902942294482], [0.43486123767945845, 0.7466801396242102], [0.8167106374208183, 0.5101058194917625], [0.7251684103489182, 0.7974319033378118], [0.9324455835504267, 0.7173059583506681]]",0.0642649907307527,0.0057925448370124,0.0022569864556998,0.0105278185136571,0.61,0.0,0.61,0.1358210325560068,0.0066357032294548,0.0022806492104759,0.0101001958061035,0.611,0.7145490736092106,0.611,0.120603443582655,0.0057023069637097,0.0023024838020757,0.0115732758551502,0.6020000000000001,0.5486542269244061,0.6020000000000001,8.0,0.5621798865753481,0.6253406701017584,0.26284715195308483,0.11617161842760981,0.06268918011369369,0.40050446068600826,0.12379633979517891,0.4038509677174342,0.1602151654150734,0.20903527918796086,0.05870483976807099,0.23103716464915425,2.013068417541122,0.02887964558114428,0.24894193683111887,0.06755441644957327,0.125,0.125,0.7853981633974483,0.46074298943607395,1.5676783581042892,0.06412212589856386,0.030260125779079834,2.119030382315672
13,19,3059,0.0898359891208809,0.9175692581107114,0.1146438913157189,0.0058719295419446,0.1146438913157189,0.1183807643937017,0.0041520811977586,0.1065058121681119,0.1227819704633259,1.0,0,"[[0.34982060417514244, 0.8277556815451598], [0.1742538914525335, 0.7440032903946995], [0.8526528334522373, 0.3087478618592836], [0.8733367190065485, 0.8192673512007617], [0.4828987702032096, 0.7117045583720908], [0.7519357215423313, 0.2839515098963883], [0.7446599292048407, 0.3854275822404513], [0.18497066844861001, 0.41850093882532535]]",0.0760540852946291,0.0058679215057475,0.0020548940810901,0.0152117353901426,0.541,0.0,0.541,0.1276671146034653,0.0076145348189759,0.0021913922193495,0.0172437448037548,0.5429999999999999,0.5051745049379969,0.5429999999999999,0.123938402104759,0.0069780678824665,0.0021473558649633,0.0166487915090836,0.535,0.4605363410492404,0.535,8.0,0.5518161421856818,0.56241984679177,0.34007805862767904,0.08226174627711172,0.1644248438423768,0.4189579933231719,0.10173657362284128,0.48733932206219055,0.20571269492468922,0.19819051059410892,0.1045796715606537,0.3222203300226811,2.2411585487943326,0.040277541252835135,0.19964738959724188,0.12666328099345148,0.0,0.25,0.7853981633974483,0.6148390459820163,1.8200620154572529,0.09761366674549163,0.04229499709511525,2.3079246589371505
14,40,621,0.0931615666913832,0.9147778612695372,0.1153902105383123,0.0097924324754324,0.1153902105383123,0.121622076405233,0.0069242954076896,0.1018185915392405,0.128961829537384,1.0,0,"[[0.8891276210692024, 0.603641798098141], [0.14308483312927558, 0.50517199479791], [0.46588367993765706, 0.8446743907989689], [0.5577909754375074, 0.6409724217598444], [0.7288247499529351, 0.7669430135012498], [0.9117597105810424, 0.2980099475873434], [0.8233813376374776, 0.3756997931702848], [0.41758454037738374, 0.9468519596357006]]",0.0777202415790097,0.0066170957210969,0.0021549768044399,0.0176418283483871,0.537,0.0,0.537,0.1267922623441286,0.0049434458185847,0.0021303870063958,0.0089068838359306,0.528,0.5109564657498624,0.528,0.1281336102168603,0.0046456243481211,0.0021537696311781,0.008102707186228,0.526,0.5251226710433744,0.526,8.0,0.6171796810153102,0.6227456649186803,0.30187838315711135,0.12932024792234592,0.06212272543243622,0.48845623416816986,0.11301797403797238,0.45378728235203913,0.20149734931714006,0.1939274760113069,0.10332328936697432,0.277355609654036,2.2109288895455776,0.0346694512067545,0.1649217972682237,0.05314804036429943,0.25,0.5,0.7853981633974483,0.6046042754750005,2.0232309022040345,0.08941449999211995,0.03384753971102143,2.64168387881394
15,34,1559,0.0921598147277812,0.9156169147729062,0.1156669739135459,0.0112217623265868,0.1156669739135459,0.1228084597277398,0.0079349842379932,0.1001144048070791,0.1312195430200127,1.0,0,"[[0.23273246588326005, 0.06150348895160909], [0.5252395717180278, 0.6095150227634328], [0.5746429991597304, 0.3914029773055562], [0.43805946122115147, 0.41384580393412945], [0.7467000731850915, 0.09950457208950705], [0.8909525562258666, 0.8030949009276285], [0.722457237790973, 0.8134194563569428], [0.6173311182604725, 0.8463429800154795]]",0.0608849738418501,0.0081575983097625,0.0026661955613403,0.0227135153415232,0.664,0.0,0.664,0.1447798612173377,0.0060185409163073,0.0027206553513624,0.0165424987586578,0.625,0.8085876817740203,0.625,0.1122231993776581,0.0056689767581232,0.0026223420066617,0.0147185263456433,0.6379999999999999,0.5095660193280974,0.6379999999999999,8.0,0.5935144354305717,0.5048286502930357,0.31537378838720675,0.1527013408417731,0.11498484421691002,0.5715774910096086,0.11016106125866486,0.477542480696536,0.22932368523133867,0.20335171816382314,0.10444479192018975,0.29376147514238615,2.384621943165665,0.03672018439279827,0.225753353364885,0.06150348895160909,0.25,0.375,0.7853981633974483,0.5828865250399418,1.9962444413787503,0.11542869507556879,0.02488939166337296,4.6376663856125
16,41,1294,0.0932106354317947,0.9147368014810991,0.1161051468315281,0.0046923540409057,0.1161051468315281,0.1190913426573754,0.0033179953620525,0.1096018759219051,0.1226084177411511,1.0,0,"[[0.10145073608990178, 0.8499603972830947], [0.5089294371328259, 0.9088703597389947], [0.4473579977317768, 0.2887486778611511], [0.28712505310442654, 0.8075253684246079], [0.2890713984614742, 0.7222422659573366], [0.656065136340344, 0.4058556819700113], [0.602412074579821, 0.20157903947497366], [0.894328662138115, 0.06381914853113897]]",0.0752011462308583,0.0129950110474931,0.0024154277711549,0.0336779708649546,0.605,0.0,0.605,0.1329003533514681,0.0085015415292294,0.0024557245277559,0.0175985938432891,0.5780000000000001,0.6049508151032811,0.5780000000000001,0.1234187343923179,0.0068396855679489,0.002331871664844,0.0115710207793285,0.5760000000000001,0.5326956965294238,0.5760000000000001,8.0,0.4733425619473357,0.5310751174051636,0.3645287923973826,0.1283492937254802,0.2215117292684672,0.6289335712157877,0.08530530948711214,0.5210659944976191,0.2643342344813336,0.18683526288456992,0.07341631993721437,0.27208533597121515,2.5004180763127595,0.03401066699640189,0.1951118089369853,0.06381914853113897,0.25,0.375,0.7853981633974483,0.7929396335068108,2.17278849258701,0.15332176540920534,0.01736941366110743,8.827112325185416
17,9,2954,0.0860838304883541,0.9207392393921868,0.1163334316922864,0.0067784402384891,0.1163334316922864,0.1206472046449395,0.0047930810585034,0.1069389928176196,0.1257278705669532,1.0,0,"[[0.27145955785803116, 0.6298853821859499], [0.815049875290244, 0.05997578162825022], [0.6423068037635123, 0.20257020076427637], [0.8181579051264152, 0.8677022699035325], [0.6536371484189173, 0.514022902349478], [0.7363571450682326, 0.3044410912081285], [0.9290503150431432, 0.9355711628960827], [0.7067171732120383, 0.9794102240831806]]",0.0726882598284806,0.0092583483955596,0.0025487067472504,0.0199066768349294,0.583,0.0,0.583,0.1365331037579308,0.0107931609483556,0.0025413004615037,0.0189956834916833,0.571,0.6162747628366576,0.571,0.1195792594248034,0.0083438887063149,0.0025737943234447,0.0154913507611753,0.563,0.4562710427860907,0.563,8.0,0.6965919904725668,0.5616973768773599,0.3526404358607179,0.13082590520704146,0.06417144207015793,0.5155160808498503,0.13001274250308642,0.5175119138336399,0.23567563814887785,0.1929718259507464,0.08636399049409896,0.32933117356895936,2.457616726553445,0.04116639669611992,0.1701659487350765,0.02058977591681943,0.375,0.5,0.7853981633974483,0.7292570149959717,2.35347258824605,0.12372972754105127,0.037951066147267475,3.2602437850078676
18,29,3774,0.091610370917256,0.916077775222786,0.1175117376432018,0.00332555764484,0.1175117376432018,0.1196281095689056,0.0023515243618931,0.1129027498938912,0.1221207253925124,1.0,0,"[[0.3235083018678234, 0.36986085671388347], [0.29911199414044654, 0.0812335873350671], [0.2768192716294403, 0.6301877162446133], [0.746169063205677, 0.9671306824083581], [0.8149115887458503, 0.39668908488216115], [0.4877755582549517, 0.5696706916457929], [0.42187776588216347, 0.30485584205276967], [0.716106802904394, 0.7668295633749412]]",0.0689946099948687,0.0105592839942966,0.0025319158752543,0.0366431073247843,0.645,0.0,0.645,0.1422082707062266,0.0064700823447702,0.0025150058666479,0.015019961254183,0.6419999999999999,0.8109074527482512,0.6419999999999999,0.1166357991654852,0.0073859805219805,0.0025123122304839,0.0110473067552455,0.639,0.5584791590402031,0.639,8.0,0.5107850433288433,0.5108072530821983,0.3037425226781365,0.13526127169577187,0.06320079748623202,0.5134556543318657,0.11790760527446972,0.4610019208330066,0.20043620651544644,0.21312419979510627,0.07485507875562296,0.2905408171911622,2.3063633860871966,0.036317602148895275,0.23348430958876976,0.03286931759164191,0.25,0.25,0.7853981633974483,0.5020730335481426,1.6193457498446397,0.09975094389454556,0.026597778052466662,3.7503487583728714
19,5,1081,0.0840246928788716,0.922488211356399,0.1184311029699174,0.0055261411856091,0.1184311029699174,0.1219479176854421,0.0039075719061384,0.110772262033886,0.1260899439059489,1.0,0,"[[0.8081362355968982, 0.7496650219215876], [0.13828454956739825, 0.915725400632758], [0.6131255339787489, 0.5741610785344831], [0.4763154568427257, 0.3085720033503539], [0.051775907935835835, 0.19694001625305263], [0.8990520754435154, 0.2820287870272611], [0.27952134928582856, 0.6252514535681447], [0.6430437087350923, 0.39212297161735377]]",0.0638491543307285,0.0040952490630312,0.0021426328866684,0.0096876408412149,0.6059999999999999,0.0,0.6059999999999999,0.1447562035269013,0.0027710302487788,0.0020845283854264,0.0059435857000622,0.573,0.7767616420493217,0.573,0.1203628504951387,0.003592609059359,0.0021319854110827,0.0067423499053648,0.5780000000000001,0.534234714468177,0.5780000000000001,8.0,0.4886568521732555,0.5055583416131244,0.3394700214501336,0.1537674307617152,0.1421224410974506,0.5394420884007347,0.18448026873008208,0.5215888120760351,0.21306098035283655,0.27267972393901346,0.0835496887785101,0.4498991066783367,2.74203100625378,0.05623738833479209,0.22009828827312566,0.051775907935835835,0.25,0.375,0.7853981633974483,0.4944023618924936,1.625285023002168,0.09711178433070165,0.06161315078519898,1.5761535174407983
20,48,777,0.0937449114327509,0.914289967932331,0.1198288848880455,0.0050418737099829,0.1198288848880455,0.1230375136692391,0.0035651430902151,0.1128412044312238,0.1268165653448672,1.0,0,"[[0.7032281626257518, 0.3880637194788733], [0.8434614726891783, 0.7339082746141239], [0.5917152065037193, 0.26350837283919765], [0.6852191862130594, 0.06941814361336729], [0.389349744119849, 0.4352979449008754], [0.20397002879225362, 0.2847799911954127], [0.5026232424620964, 0.8913124340821171], [0.49385355074578025, 0.6372293370877566]]",0.0662749354703529,0.0084416850489073,0.0019791367657961,0.0062539239944819,0.5960000000000001,0.0,0.5960000000000001,0.145079848830306,0.008880257852904,0.0019832039760472,0.0058328746049207,0.579,0.7618387041502301,0.579,0.1228809064212171,0.0055250591809161,0.0019867533276799,0.005686921841788,0.575,0.5493855323726842,0.575,8.0,0.551677574268961,0.4629397772264654,0.29454648688597274,0.11539552497059968,0.1646644932437925,0.43117219368900395,0.16718006388204337,0.44588970521575433,0.1729809062130414,0.23253689528963084,0.05738978558317204,0.30380168465929436,2.2618140354268914,0.037975210582411795,0.23137686035998298,0.06941814361336729,0.125,0.25,0.7853981633974483,0.4821323477195434,1.4191197221308443,0.0753390408006535,0.03903097076518515,1.9302374325737863
