reeval_rank,original_rank,sample_id,coarse_J,coarse_display_score,mean_J,std_J,median_J,p95_J,sem_J,ci95_low,ci95_high,valid_repeat_rate,failure_count,layout_json,flat_J_t,flat_mean_err,flat_median_err,flat_p95_err,flat_valid_rate,flat_dgeom,flat_usable_event_rate,hill_J_t,hill_mean_err,hill_median_err,hill_p95_err,hill_valid_rate,hill_dgeom,hill_usable_event_rate,rough_J_t,rough_mean_err,rough_median_err,rough_p95_err,rough_valid_rate,rough_dgeom,rough_usable_event_rate
16,41,1294,0.0932106354317947,0.9147368014810991,0.11610514683152814,0.004692354040905727,0.11610514683152814,0.11909134265737542,0.0033179953620525375,0.10960187592190516,0.12260841774115112,1.0,0,"[[0.10145073608990178, 0.8499603972830947], [0.5089294371328259, 0.9088703597389947], [0.4473579977317768, 0.2887486778611511], [0.28712505310442654, 0.8075253684246079], [0.2890713984614742, 0.7222422659573366], [0.656065136340344, 0.4058556819700113], [0.602412074579821, 0.20157903947497366], [0.894328662138115, 0.06381914853113897]]",0.0752011462308583,0.01299501104749311,0.0024154277711549823,0.03367797086495467,0.605,0.0,0.605,0.13290035335146813,0.008501541529229488,0.002455724527755971,0.017598593843289198,0.5780000000000001,0.6049508151032811,0.5780000000000001,0.12341873439231799,0.006839685567948983,0.0023318716648440896,0.011571020779328537,0.5760000000000001,0.5326956965294238,0.5760000000000001
17,9,2954,0.0860838304883541,0.9207392393921868,0.11633343169228644,0.006778440238489189,0.11633343169228644,0.12064720464493957,0.004793081058503464,0.10693899281761965,0.12572787056695323,1.0,0,"[[0.27145955785803116, 0.6298853821859499], [0.815049875290244, 0.05997578162825022], [0.6423068037635123, 0.20257020076427637], [0.8181579051264152, 0.8677022699035325], [0.6536371484189173, 0.514022902349478], [0.7363571450682326, 0.3044410912081285], [0.9290503150431432, 0.9355711628960827], [0.7067171732120383, 0.9794102240831806]]",0.07268825982848068,0.00925834839555961,0.0025487067472504425,0.019906676834929485,0.583,0.0,0.583,0.13653310375793082,0.010793160948355682,0.002541300461503755,0.018995683491683388,0.571,0.6162747628366576,0.571,0.11957925942480342,0.008343888706314952,0.0025737943234447787,0.015491350761175382,0.563,0.45627104278609076,0.563
18,29,3774,0.091610370917256,0.916077775222786,0.11751173764320183,0.003325557644840048,0.11751173764320183,0.11962810956890567,0.002351524361893162,0.11290274989389124,0.12212072539251242,1.0,0,"[[0.3235083018678234, 0.36986085671388347], [0.29911199414044654, 0.0812335873350671], [0.2768192716294403, 0.6301877162446133], [0.746169063205677, 0.9671306824083581], [0.8149115887458503, 0.39668908488216115], [0.4877755582549517, 0.5696706916457929], [0.42187776588216347, 0.30485584205276967], [0.716106802904394, 0.7668295633749412]]",0.06899460999486878,0.01055928399429668,0.0025319158752543387,0.0366431073247843,0.645,0.0,0.645,0.14220827070622666,0.006470082344770273,0.002515005866647958,0.015019961254183003,0.6419999999999999,0.8109074527482512,0.6419999999999999,0.11663579916548522,0.007385980521980574,0.0025123122304839826,0.011047306755245505,0.639,0.5584791590402031,0.639
19,5,1081,0.0840246928788716,0.922488211356399,0.11843110296991749,0.005526141185609128,0.11843110296991749,0.12194791768544212,0.003907571906138481,0.11077226203388607,0.1260899439059489,1.0,0,"[[0.8081362355968982, 0.7496650219215876], [0.13828454956739825, 0.915725400632758], [0.6131255339787489, 0.5741610785344831], [0.4763154568427257, 0.3085720033503539], [0.051775907935835835, 0.19694001625305263], [0.8990520754435154, 0.2820287870272611], [0.27952134928582856, 0.6252514535681447], [0.6430437087350923, 0.39212297161735377]]",0.06384915433072855,0.004095249063031272,0.0021426328866684056,0.009687640841214902,0.6059999999999999,0.0,0.6059999999999999,0.14475620352690133,0.0027710302487788043,0.0020845283854264646,0.00594358570006228,0.573,0.7767616420493217,0.573,0.12036285049513876,0.003592609059359095,0.0021319854110827523,0.006742349905364877,0.5780000000000001,0.534234714468177,0.5780000000000001
20,48,777,0.0937449114327509,0.914289967932331,0.11982888488804552,0.005041873709982978,0.11982888488804552,0.12303751366923915,0.0035651430902151403,0.11284120443122385,0.1268165653448672,1.0,0,"[[0.7032281626257518, 0.3880637194788733], [0.8434614726891783, 0.7339082746141239], [0.5917152065037193, 0.26350837283919765], [0.6852191862130594, 0.06941814361336729], [0.389349744119849, 0.4352979449008754], [0.20397002879225362, 0.2847799911954127], [0.5026232424620964, 0.8913124340821171], [0.49385355074578025, 0.6372293370877566]]",0.0662749354703529,0.008441685048907379,0.0019791367657961204,0.006253923994481936,0.5960000000000001,0.0,0.5960000000000001,0.14507984883030606,0.008880257852904031,0.001983203976047224,0.005832874604920759,0.579,0.7618387041502301,0.579,0.1228809064212171,0.005525059180916123,0.001986753327679916,0.005686921841788074,0.575,0.5493855323726842,0.575
21,23,983,0.0903383520717033,0.91714649686489,0.11989562812173632,0.006932953137158163,0.11989562812173632,0.1243077324809761,0.0049023381769330845,0.11028704529494747,0.12950421094852516,1.0,0,"[[0.37979171430139497, 0.1033246903247359], [0.9010232550085571, 0.7177045658390353], [0.18827639195033974, 0.449204962714146], [0.5550374316002404, 0.3019694073321323], [0.7324305856181165, 0.9215181590055731], [0.671630273265729, 0.10504953460731532], [0.9722537832261344, 0.8827141631955474], [0.793453774106785, 0.3663819651445667]]",0.07922726849569314,0.006746868493811699,0.0022478402945323886,0.011970592244926267,0.516,0.0,0.516,0.13303227483608931,0.004402558030753232,0.002224922158775693,0.009246053087145632,0.504,0.5387730779610667,0.504,0.13257542739724626,0.0044655096121265815,0.0021972320130514275,0.011616931015002923,0.502,0.5238086876728841,0.502
22,6,2891,0.0842873220887118,0.9222647721027066,0.12064258578478043,0.012413480521238788,0.12064258578478043,0.12854247641400599,0.008777656254695065,0.1034383795255781,0.13784679204398276,1.0,0,"[[0.5432622380178218, 0.5371973123357652], [0.6467792658513096, 0.2001916979154007], [0.6610048528171668, 0.8259185887541224], [0.7019638257459307, 0.3081495351140075], [0.8744126287986427, 0.22529619025881795], [0.32825181457259595, 0.592387370667402], [0.4292147931377261, 0.8319979049458359], [0.8573934026368893, 0.4156753272707845]]",0.072382147393025,0.013977656047741328,0.0028703567733641836,0.06530734057180465,0.69,0.0,0.69,0.1403546795210714,0.012989874137474659,0.0029698938812972543,0.06140795800932093,0.6809999999999999,0.6823684875641151,0.6809999999999999,0.12947883670395396,0.014915366861245229,0.003044918481486217,0.08357679825012973,0.6779999999999999,0.49393882141354695,0.6779999999999999
23,42,1411,0.0934890787538127,0.9145038751915502,0.12130069753232628,0.015164098911392672,0.12130069753232628,0.13095107098607264,0.0107226371708293,0.10028432867750085,0.14231706638715172,1.0,0,"[[0.32423186893249883, 0.7214866910139014], [0.2655529012620975, 0.15152706635576058], [0.7103351415255991, 0.3185840998946323], [0.9100885586441135, 0.9254012474947273], [0.3586665778524895, 0.3650580818858787], [0.7019939736963273, 0.5478393694640039], [0.7431629091606009, 0.8634854723195722], [0.508337618146721, 0.5932093624686674]]",0.06952573528322586,0.008384816639989762,0.002155478918995133,0.01767522598410162,0.597,0.0,0.597,0.14577297736924566,0.008679285213322823,0.002181149807785943,0.01427390219321476,0.5800000000000001,0.7458512836528595,0.5800000000000001,0.12413110010758793,0.008916682329636556,0.0022031580880773668,0.010845174224988551,0.5820000000000001,0.5416504079175491,0.5820000000000001
24,37,3972,0.0926396345539173,0.9152148323891448,0.12147484820814942,0.00606352905377372,0.12147484820814942,0.12533365446880998,0.004287562511845047,0.11307122568493314,0.1298784707313657,1.0,0,"[[0.8175379429376534, 0.23949033980702716], [0.4309336162676848, 0.1551644007774899], [0.6259829396005657, 0.26558072054678544], [0.4658457913597233, 0.6251074996846469], [0.04845343494094823, 0.8598315863360316], [0.20085835876727967, 0.25972220472614316], [0.4285499830434068, 0.31449557846808907], [0.9684752764293646, 0.37359477569583555]]",0.07164791813941726,0.0037931503249983207,0.0022825276588513627,0.00813666831056007,0.55,0.0,0.55,0.1430206718246542,0.003400042785730848,0.0022545263800918623,0.008401231618415134,0.545,0.707202830855508,0.545,0.12821013104387208,0.004159581534944275,0.002276270008596951,0.008442950195511868,0.545,0.5555543429449359,0.545
25,49,2990,0.0937490489803955,0.9142865092611604,0.12174292452418492,0.010676048125800716,0.12174292452418492,0.12853711994760977,0.007549106026027617,0.10694667671317079,0.13653917233519905,1.0,0,"[[0.8450760339419418, 0.20665409680766827], [0.47886365214556714, 0.8245602716412149], [0.39844762998936206, 0.3597163085843969], [0.5868779076317018, 0.4051260762149461], [0.35607452538898116, 0.02577971258295275], [0.747008930994715, 0.8471491610170478], [0.6152547564958925, 0.9585610731177227], [0.5945890711306184, 0.5458636580085054]]",0.08136518535391879,0.013759662894714723,0.0024548074366372045,0.08757779017099052,0.6739999999999999,0.0,0.6739999999999999,0.14256839460895573,0.012352364492397981,0.002485296818457892,0.05604678716903659,0.663,0.6964579443666566,0.663,0.12046972352490948,0.011312110866766461,0.0024240051313221137,0.0515084444564053,0.66,0.4892674029794298,0.66
