reeval_rank,original_rank,sample_id,repeat_idx,coarse_J,reeval_J,valid,failure_reason,terrain_master_seed,mc_base_seed,n_events,n_seeds,layout_json,flat_J_t,flat_mean_err,flat_median_err,flat_p95_err,flat_valid_rate,flat_dgeom,flat_usable_event_rate,hill_J_t,hill_mean_err,hill_median_err,hill_p95_err,hill_valid_rate,hill_dgeom,hill_usable_event_rate,rough_J_t,rough_mean_err,rough_median_err,rough_p95_err,rough_valid_rate,rough_dgeom,rough_usable_event_rate
7,25,3555,1,0.0905245894966984,0.10634436224748633,True,,310001,910001,100,5,"[[0.7850771881272642, 0.7607935483762949], [0.4838118591972993, 0.6731581339125525], [0.6004565817528442, 0.42734346599686446], [0.11910613886626678, 0.27782241366340243], [0.22833534588664564, 0.9456735747531256], [0.5589908741460213, 0.8570394785288569], [0.10148247745627942, 0.5553553545109386], [0.6772102835781489, 0.15627703807601803]]",0.06553964893876012,0.002470478604528289,0.0019484661738438445,0.00575977855574133,0.5820000000000001,0.0,0.5820000000000001,0.12281136745757669,0.0025068966459553302,0.001995488083087549,0.006121828814261456,0.5640000000000001,0.5444671532261837,0.5640000000000001,0.11421506513603183,0.002542875985036451,0.0019831880935850905,0.006562419615681131,0.57,0.4660204505806108,0.57
7,25,3555,2,0.0905245894966984,0.1170747516243228,True,,410004,1010004,100,5,"[[0.7850771881272642, 0.7607935483762949], [0.4838118591972993, 0.6731581339125525], [0.6004565817528442, 0.42734346599686446], [0.11910613886626678, 0.27782241366340243], [0.22833534588664564, 0.9456735747531256], [0.5589908741460213, 0.8570394785288569], [0.10148247745627942, 0.5553553545109386], [0.6772102835781489, 0.15627703807601803]]",0.06504813108256105,0.0026894540029556604,0.0019522411662412473,0.00579292260410332,0.586,0.0,0.586,0.14102921911308192,0.00241512958021411,0.0019256104060062953,0.005716602396074864,0.5479999999999999,0.7042743008316308,0.5479999999999999,0.12119243718856634,0.002791544778042534,0.001991522580672628,0.005702094917626732,0.5719999999999998,0.5402561356315916,0.5719999999999998
8,7,4172,1,0.0844904353398321,0.10425258898701442,True,,310001,910001,100,5,"[[0.9026856993556951, 0.18654450032703226], [0.41239533727610006, 0.8713609592639263], [0.5467895394289163, 0.3734665224257184], [0.5016365860679705, 0.9164681398045448], [0.8425832012386276, 0.4400115247005735], [0.5537243599780775, 0.5422921426975769], [0.13194445504024513, 0.5004544612288693], [0.6119350083983655, 0.9332448863496872]]",0.061031830963800014,0.005384110298812856,0.0021715749363935936,0.012363271097780779,0.634,0.0,0.634,0.12273376488048518,0.004067405961467879,0.0021723457931463104,0.010136902349022326,0.6140000000000001,0.5996236149311795,0.6140000000000001,0.11051099522328732,0.004131116173703768,0.0022400843148182256,0.009970438925470684,0.618,0.48360861267479416,0.618
8,7,4172,2,0.0844904353398321,0.1195017698335713,True,,410004,1010004,100,5,"[[0.9026856993556951, 0.18654450032703226], [0.41239533727610006, 0.8713609592639263], [0.5467895394289163, 0.3734665224257184], [0.5016365860679705, 0.9164681398045448], [0.8425832012386276, 0.4400115247005735], [0.5537243599780775, 0.5422921426975769], [0.13194445504024513, 0.5004544612288693], [0.6119350083983655, 0.9332448863496872]]",0.06267589088992423,0.005197114626227399,0.0024753249980262455,0.010123964360406343,0.618,0.0,0.618,0.1485880154726747,0.0054006016441004315,0.0023968771735075147,0.014071727297111569,0.598,0.81636226543696,0.598,0.11815515749901159,0.004926489884580153,0.002452574942253553,0.014090819982417702,0.6040000000000001,0.5231099105622523,0.6040000000000001
9,1,1750,1,0.0817036621397367,0.10272147094354775,True,,310001,910001,100,5,"[[0.7809077083672599, 0.7228830734678912], [0.6838579579726572, 0.40365324425883525], [0.4565477969630048, 0.06237309764387078], [0.672717845056195, 0.6387922373352856], [0.6360427019270756, 0.12491717296047444], [0.4175281465957448, 0.19641763325468506], [0.5501491609244239, 0.5757865441441404], [0.8088618237286634, 0.9648745375198412]]",0.06353710739153859,0.014746894464235355,0.0028758979868490605,0.024670016275442283,0.67,0.0,0.67,0.11901348787634727,0.013006472573687,0.0030017087835717744,0.04361520041527724,0.6559999999999999,0.4847601509360494,0.6559999999999999,0.10932180062995789,0.012667132457282482,0.0029680812156929757,0.028203131824682908,0.652,0.42960651476775896,0.652
9,1,1750,2,0.0817036621397367,0.12172328162123949,True,,410004,1010004,100,5,"[[0.7809077083672599, 0.7228830734678912], [0.6838579579726572, 0.40365324425883525], [0.4565477969630048, 0.06237309764387078], [0.672717845056195, 0.6387922373352856], [0.6360427019270756, 0.12491717296047444], [0.4175281465957448, 0.19641763325468506], [0.5501491609244239, 0.5757865441441404], [0.8088618237286634, 0.9648745375198412]]",0.08326203378553304,0.01712512167299588,0.002701481301059478,0.0578524301089496,0.6119999999999999,0.0,0.6119999999999999,0.14107387963104573,0.01378516302950809,0.002792958835863454,0.04036170361300168,0.604,0.6336204518386658,0.604,0.12148333343733347,0.010473881440956788,0.0028011890425953907,0.026287689018006138,0.596,0.4828378008350107,0.596
10,36,3816,1,0.0926322003587369,0.10555781204808887,True,,310001,910001,100,5,"[[0.8131846565494791, 0.8275463556548786], [0.24315198015660516, 0.7289640322395634], [0.6383650495361154, 0.11903582053756687], [0.6568630258912524, 0.7669014840624894], [0.15063181108968418, 0.3286403525993244], [0.6143833430319995, 0.43264431469219494], [0.5421470585701588, 0.929994005295554], [0.5203685769780029, 0.6368976517677418]]",0.066762704843788,0.0028806825126031,0.0019139186270323988,0.00822132571038872,0.5800000000000001,0.0,0.5800000000000001,0.12476469611796627,0.0029674720385540385,0.0019215945282900673,0.008708334358974997,0.5740000000000001,0.5691683339292447,0.5740000000000001,0.10593915111263491,0.003096935885004512,0.0019271285082945108,0.008668155708413842,0.5640000000000001,0.36545083251858757,0.5640000000000001
10,36,3816,2,0.0926322003587369,0.11920404901524437,True,,410004,1010004,100,5,"[[0.8131846565494791, 0.8275463556548786], [0.24315198015660516, 0.7289640322395634], [0.6383650495361154, 0.11903582053756687], [0.6568630258912524, 0.7669014840624894], [0.15063181108968418, 0.3286403525993244], [0.6143833430319995, 0.43264431469219494], [0.5421470585701588, 0.929994005295554], [0.5203685769780029, 0.6368976517677418]]",0.06935514424805679,0.003466072465078333,0.002126491359215656,0.006984705462571757,0.5619999999999999,0.0,0.5619999999999999,0.1443664620425486,0.003990929220002567,0.002141431163257448,0.006786932107966553,0.55,0.7303446426115747,0.55,0.1187281277278235,0.003798298615128915,0.0021384853220969167,0.006476274672725675,0.548,0.47276010949197794,0.548
11,18,2035,1,0.0896265506353289,0.10526451417586168,True,,310001,910001,100,5,"[[0.5524997393453872, 0.7807810204960913], [0.24439572874403678, 0.5938151258846556], [0.5238433811330133, 0.6330741063265335], [0.4600661525546923, 0.5441547664654861], [0.7389843077401992, 0.5565283018068355], [0.42931961580115396, 0.35793006078653183], [0.8938202308995601, 0.46366189205891034], [0.8154126072741532, 0.23184280857952191]]",0.059162181301724855,0.007691947037286368,0.0027333057718597264,0.035669350449819955,0.7,0.0,0.7,0.12605433551598638,0.008524619371749611,0.0026967857886527123,0.04032807700877526,0.694,0.6421983369606646,0.694,0.1097872043697491,0.006204158503364499,0.0026457416808264712,0.024956430191904504,0.6819999999999999,0.5180840398566372,0.6819999999999999
11,18,2035,2,0.0896265506353289,0.12076835547923576,True,,410004,1010004,100,5,"[[0.5524997393453872, 0.7807810204960913], [0.24439572874403678, 0.5938151258846556], [0.5238433811330133, 0.6330741063265335], [0.4600661525546923, 0.5441547664654861], [0.7389843077401992, 0.5565283018068355], [0.42931961580115396, 0.35793006078653183], [0.8938202308995601, 0.46366189205891034], [0.8154126072741532, 0.23184280857952191]]",0.060281059074582276,0.008205057671793744,0.002957044867327517,0.03762927707425029,0.698,0.0,0.698,0.15545226654095196,0.010123925873436308,0.002787820521715225,0.060010749328952305,0.6659999999999999,0.8279327509921991,0.6659999999999999,0.11188782976045683,0.008090871360250043,0.002751903088613411,0.032271469131718064,0.6739999999999999,0.49665496908828893,0.6739999999999999
